figure_id,png,pdf,svg,description
fig_s3_success_vs_samples,fig_s3_success_vs_samples.png,fig_s3_success_vs_samples.pdf,fig_s3_success_vs_samples.svg,Complete-key and word-level success versus published sample count.
fig_s3_failure_probability_log,fig_s3_failure_probability_log.png,fig_s3_failure_probability_log.pdf,fig_s3_failure_probability_log.svg,Residual complete-key failure probability on a logarithmic scale.
fig_s3_mean_recovered_words,fig_s3_mean_recovered_words.png,fig_s3_mean_recovered_words.pdf,fig_s3_mean_recovered_words.svg,Mean number of correctly recovered words and unique histogram minima.
fig_s3_minimum_gap_vs_samples,fig_s3_minimum_gap_vs_samples.png,fig_s3_minimum_gap_vs_samples.pdf,fig_s3_minimum_gap_vs_samples.svg,Growth of the separation between the smallest and second-smallest bins.
fig_s3_minimum_gap_distribution,fig_s3_minimum_gap_distribution.png,fig_s3_minimum_gap_distribution.pdf,fig_s3_minimum_gap_distribution.svg,Distribution of minimum-frequency gaps at representative sample sizes.
fig_s3_rate_convergence,fig_s3_rate_convergence.png,fig_s3_rate_convergence.pdf,fig_s3_rate_convergence.svg,Convergence of the internal ineffective rate to the theoretical model.
fig_s3_per_sbox_success_heatmap,fig_s3_per_sbox_success_heatmap.png,fig_s3_per_sbox_success_heatmap.pdf,fig_s3_per_sbox_success_heatmap.svg,Per-S-box word-recovery success over the sample grid.
fig_s3_success_by_delta,fig_s3_success_by_delta.png,fig_s3_success_by_delta.pdf,fig_s3_success_by_delta.svg,Complete-key success by known fault input at the maximum sample count.
fig_s3_fixed_rate_by_sbox,fig_s3_fixed_rate_by_sbox.png,fig_s3_fixed_rate_by_sbox.pdf,fig_s3_fixed_rate_by_sbox.svg,Internal ineffective rate for each final infection campaign.
fig_s3_fixed_output_composition,fig_s3_fixed_output_composition.png,fig_s3_fixed_output_composition.pdf,fig_s3_fixed_output_composition.svg,Hidden composition of correct ineffective and random infected outputs.
fig_s3_fixed_minimum_gap,fig_s3_fixed_minimum_gap.png,fig_s3_fixed_minimum_gap.pdf,fig_s3_fixed_minimum_gap.svg,Minimum-frequency gap for each final S-box campaign.
fig_s3_histogram_heatmap,fig_s3_histogram_heatmap.png,fig_s3_histogram_heatmap.pdf,fig_s3_histogram_heatmap.svg,Eight final 16-bin histograms with their unique minima marked.
fig_s3_recovered_words,fig_s3_recovered_words.png,fig_s3_recovered_words.pdf,fig_s3_recovered_words.svg,Recovered versus actual four-bit SK28 words.
